Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
1,C51934175,PB25V1000M8X17,JIERR,"Through Hole,D8xL17mm",,"1000uF 25V 16mΩ@100kHz 4.5A@100kHz ±20% Through Hole,D8xL17mm Aluminum - Polymer Capacitors RoHS",yes,4,1,1,0.3226,1.29,https://www.lcsc.com/product-detail/C51934175.html
2,C3037697,DG301-5.0-04P-14-1000A(H),DEGSON,P=5mm,,-30℃~+120℃ 17.5A 250V 1x3P Blue 4 1 5mm P=5mm Wire to Board RoHS,yes,5,5,5,0.1924,0.96,https://www.lcsc.com/product-detail/C3037697.html
3,C640529,PIC12F1840-E/P,MICROCHIP,PDIP-8,,PIC 8 Bit 32MHz 5 PDIP-8 Microcontrollers RoHS,yes,1,1,1,2.6843,2.68,https://www.lcsc.com/product-detail/C640529.html
4,C43307,AO3416,AOS,SOT-23,,N-Channel 20V Surface Mount SOT-23,yes,5,5,5,0.1137,0.57,https://www.lcsc.com/product-detail/C43307.html
5,C2907295,FRC0805J102 TS,FOJAN,0805,,1kΩ ±5% 125mW 0805 Thick Film Resistor,yes,100,100,100,0.0031,0.31,https://www.lcsc.com/product-detail/C2907295.html
6,C51912689,E22P-868M30S,EBYTE,"SMD,38.5x24mm",,"SMD,38.5x24mm RF Transceiver Modules and Modems RoHS",yes,1,1,1,10.5772,10.58,https://www.lcsc.com/product-detail/C51912689.html
7,C880672,DS18B20+T&R,MAXIM,TO-92,,-55℃~+125℃ Single bus ±0.5℃ TO-92 Analog and Digital Output RoHS,yes,1,1,1,3.0164,3.02,https://www.lcsc.com/product-detail/C880672.html
8,C57369,2.54-1*10P,BOOMELE(Boom Precision Elec),"Through Hole,P=2.54mm",,Pin Header 10 Position 2.54mm Pitch Single Row Through Hole -40℃~+105℃,yes,10,10,10,0.0707,0.71,https://www.lcsc.com/product-detail/C57369.html
9,C5116489,PM2.54-1*10,ZHOURI,"Through Hole,P=2.54mm",,Female Header 10 Position 2.54mm Pitch Single Row Through Hole -40℃~+105℃,yes,5,5,5,0.1056,0.53,https://www.lcsc.com/product-detail/C5116489.html
10,C22447637,XR6*10-330K-S,XR,"Through Hole,D7.5xL13mm",,"33uH ±10% 250mΩ 1A Toroidal inductor Through Hole,D7.5xL13mm Fixed Inductors RoHS",yes,5,5,5,0.0865,0.43,https://www.lcsc.com/product-detail/C22447637.html
11,C49678,CC0805KRX7R9BB104,YAGEO,0805,,100nF ±10% 50V Ceramic Capacitor X7R 0805,yes,20,20,20,0.0255,0.51,https://www.lcsc.com/product-detail/C49678.html
12,C162327,293D105X9016A2TE3,VISHAY,CASE-A-3216-18(mm),,1uF ±10% 16V Tantalum Capacitors 9.3Ω@100kHz CASE-A-3216-18(mm),yes,5,5,5,0.1971,0.99,https://www.lcsc.com/product-detail/C162327.html
13,C12051,LD1086DT33TR,ST,TO-252-2(DPAK),,"3.3V Positive Fixed TO-252-2(DPAK) Voltage Regulators - Linear, Low Drop Out (LDO) Regulators RoHS",yes,1,1,1,1.4335,1.43,https://www.lcsc.com/product-detail/C12051.html
14,C965812,XL-2012SURC,XINGLIGHT,0805,,Red 620nm LED Indication - Discrete 2.3V 0805,yes,100,100,100,0.0069,0.69,https://www.lcsc.com/product-detail/C965812.html
